variable,name,description,behaviour,computed_at_runtime_or_static
entity.fields.array.creatable,entity fields array creatable,Filtered collection view for creatable items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.creatable.count,entity fields array creatable count,Number of items in the collection or filtered view.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.creatable.not_empty,entity fields array creatable not empty,Boolean indicating whether the collection or filtered view has at least one item.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.editable,entity fields array editable,Filtered collection view for editable items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.editable.count,entity fields array editable count,Number of items in the collection or filtered view.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.editable.not_empty,entity fields array editable not empty,Boolean indicating whether the collection or filtered view has at least one item.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.generated.count,entity fields array generated count,Number of items in the collection or filtered view.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.generated.not_empty,entity fields array generated not empty,Boolean indicating whether the collection or filtered view has at least one item.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.immutable.count,entity fields array immutable count,Number of items in the collection or filtered view.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.immutable.not_empty,entity fields array immutable not empty,Boolean indicating whether the collection or filtered view has at least one item.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.immutable_after_create.count,entity fields array immutable after create count,Number of items in the collection or filtered view.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.immutable_after_create.not_empty,entity fields array immutable after create not empty,Boolean indicating whether the collection or filtered view has at least one item.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.persisted.count,entity fields array persisted count,Number of items in the collection or filtered view.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.persisted.not_empty,entity fields array persisted not empty,Boolean indicating whether the collection or filtered view has at least one item.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.updatable,entity fields array updatable,Filtered collection view for updatable items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
